,Name,ID,Description,Homepage,Popularities,Ratings,Os Types,Bases,Origins,Architectures,Desktops,Categories,Statuses
0,MX Linux,mx,"MX Linux, a desktop-oriented Linux distribution based on Debian's ""Stable"" branch, is a cooperative venture between the antiX and former MEPIS Linux communities. Using Xfce as the default desktop (with separate KDE Plasma and Fluxbox editions also available), it is a mid-weight operating system designed to combine an elegant and efficient desktop with simple configuration, high stability, solid performance and medium-sized footprint.",['https://mxlinux.org/'],"['1 (2,650 hits per day)']",['8.15'],['Linux'],"['Debian (Stable)', 'antiX']","['Greece, USA']","['armhf', 'i686', 'x86_64']","['Fluxbox', 'KDE Plasma', 'Xfce']","['Desktop', 'From RAM', 'Live Medium', 'Raspberry Pi']",['Active']
1,Mint,mint,"Linux Mint is an Ubuntu-based distribution whose goal is to provide a classic desktop experience with many convenient, custom tools and optional out-of-the-box multimedia support. It also adds a custom desktop and menus, several unique configuration tools, and a web-based package installation interface. Linux Mint is compatible with Ubuntu software repositories. Besides its Ubuntu-based flavour, the project also produces a separate ""Debian"" edition (called LMDE), based on the latest stable Debian version.",['https://linuxmint.com/'],"['2 (2,125 hits per day)']",['8.71'],['Linux'],"['Debian (Stable)', 'Ubuntu (LTS)']",['Ireland'],"['i686', 'x86_64']","['Cinnamon', 'MATE', 'Xfce']","['Beginners', 'Desktop', 'Live Medium']",['Active']
2,EndeavourOS,endeavour,"EndeavourOS is a rolling release Linux distribution based on Arch Linux. The project aims to be a spiritual successor to Antergos - providing an easy setup and pre-configured desktop environment on an Arch base. EndeavourOS offers both off-line and on-line install options. The off-line installer, Calamares, uses the Xfce desktop by default. The on-line installer can install optional software components, including most popular desktop environments.",['https://endeavouros.com/'],"['3 (1,715 hits per day)']",['8.45'],['Linux'],['Arch'],['Netherlands'],"['aarch64', 'x86_64']","['Budgie', 'Cinnamon', 'GNOME', 'i3', 'KDE Plasma', 'LXQt', 'MATE', 'Xfce']","['Desktop', 'Live Medium']",['Active']
3,Debian,debian,"The Debian Project is an association of individuals who have made common cause to create a free operating system. This operating system is called Debian. Debian systems currently use the Linux kernel. Linux is a completely free piece of software started by Linus Torvalds and supported by thousands of programmers worldwide. Of course, the thing that people want is application software: programs to help them get what they want to do done, from editing documents to running a business to playing games to writing more software. Debian comes with over 50,000 packages (precompiled software that is bundled up in a nice format for easy installation on your machine) - all of it free. It's a bit like a tower. At the base is the kernel. On top of that are all the basic tools. Next is all the software that you run on the computer. At the top of the tower is Debian -- carefully organizing and fitting everything so it all works together.",['https://www.debian.org/'],"['4 (1,559 hits per day)']",['8.85'],['Linux'],[],['Global'],"['aarch64', 'armel', 'armhf', 'i386', 'i686', 'mipsel', 'ppc64el', 's390x', 'x86_64']","['AfterStep', 'Awesome', 'Blackbox', 'Cinnamon', 'Fluxbox', 'flwm', 'FVWM', 'GNOME', 'i3', 'IceWM', 'ion', 'JWM', 'KDE', 'LXDE', 'LXQt', 'MATE', 'Openbox', 'pekwm', 'Ratpoison', 'WMaker', 'XBMC', 'Xfce']","['Desktop', 'Live Medium', 'Server']",['Active']
4,Manjaro,fedora,"Fedora Linux (formerly Fedora, formerly Fedora Core) is a Linux distribution developed by the community-supported Fedora Project and owned by Red Hat. Fedora Linux contains software distributed under a free and open-source license and aims to be on the leading edge of such technologies. Fedora has a reputation for focusing on innovation, integrating new technologies early on and working closely with upstream Linux communities. The default desktop in Fedora Linux is the GNOME desktop environment and the default interface is the GNOME Shell. Other desktop environments, including KDE, Xfce, LXDE, MATE and Cinnamon, are available. The Fedora project also distributes custom variations of Fedora called Fedora spins. These are built with specific sets of software packages, offering alternative desktop environments or targeting specific interests such as gaming, security, design, scientific computing and robotics.",['https://getfedora.org/'],['7 (909 hits per day)'],['8.25'],['Linux'],[],['USA'],"['aarch64', 'ppc64le', 's390x', 'x86_64']","['Awesome', 'Budgie', 'Cinnamon', 'Enlightenment', 'i3', 'GNOME', 'KDE Plasma', 'LXDE', 'LXQt', 'MATE', 'Openbox', 'Pantheon', 'Ratpoison', 'Xfce']","['Desktop', 'Immutable', 'Server', 'Live Medium']",['Active']
5,Ubuntu,manjaro,"Manjaro Linux is a fast, user-friendly, desktop-oriented operating system based on Arch Linux. Key features include intuitive installation process, automatic hardware detection, stable rolling-release model, ability to install multiple kernels, special Bash scripts for managing graphics drivers and extensive desktop configurability. Manjaro Linux offers Xfce as the core desktop options, as well as KDE, GNOME and a minimalist Net edition for more advanced users. Community-supported desktop flavours are also available.",['https://manjaro.org/'],"['5 (1,193 hits per day)']",['8.09'],['Linux'],['Arch'],"['Austria, France, Germany']","['aarch64', 'x86_64']","['Awesome', 'bspwm', 'Budgie', 'Cinnamon', 'GNOME', 'i3', 'KDE Plasma', 'LXQt', 'MATE', 'Openbox', 'Xfce']","['Desktop', 'Live Medium', 'Raspberry Pi']",['Active']
6,Fedora,ubuntu,"Ubuntu is a complete desktop Linux operating system, freely available with both community and professional support. The Ubuntu community is built on the ideas enshrined in the Ubuntu Manifesto: that software should be available free of charge, that software tools should be usable by people in their local language and despite any disabilities, and that people should have the freedom to customise and alter their software in whatever way they see fit. ""Ubuntu"" is an ancient African word, meaning ""humanity to others"". The Ubuntu distribution brings the spirit of Ubuntu to the software world.",['https://www.ubuntu.com/'],"['6 (1,027 hits per day)']",['7.78'],['Linux'],['Debian'],['Isle of Man'],"['armhf', 'ppc64el', 'riscv', 's390x', 'x86_64']","['GNOME', 'Unity']","['Beginners', 'Desktop', 'Server', 'Live Medium']",['Active']
7,Pop!_OS,popos,Pop!_OS is an Ubuntu-based Linux distribution featuring a custom GNOME desktop. Pop!_OS is designed to have a minimal amount of clutter on the desktop without distractions in order to allow the user to focus on work. The distribution is developed by Linux computer retailer System76.,['https://system76.com/pop'],['8 (905 hits per day)'],['7.97'],['Linux'],"['Ubuntu', 'Debian']",['USA'],"['aarch64', 'x86_64']",['GNOME'],"['Desktop', 'Live Medium', 'Raspberry Pi']",['Active']
8,openSUSE,backbox,"BackBox Linux is an Ubuntu-based distribution developed to perform penetration tests and security assessments. It is designed to be fast and easy to use. It provides a minimal yet complete desktop environment, thanks to its own software repositories, which are always updated to the latest stable versions of the most often used and best-known ethical hacking tools.",['https://www.backbox.org/'],['111 (88 hits per day)'],['8.33'],['Linux'],"['Debian', 'Ubuntu (LTS)']",['Italy'],['x86_64'],['Xfce'],"['Data Rescue', 'Forensics', 'Security', 'Live Medium']",['Active']
9,Zorin,alma,"AlmaLinux OS is an open-source, community-driven project that is built from the source code of Red Hat Enterprise Linux (RHEL). AlmaLinux is a completely binary compatible fork of RHEL and it is maintained by AlmaLinux OS Foundation which is a register non-profit.",['https://almalinux.org/'],['25 (341 hits per day)'],['7.91'],['Linux'],"['Fedora', 'Red Hat']",['USA'],"['aarch64', 'ppc64le', 's390x', 'x86_64']","['GNOME', 'KDE Plasma', 'MATE', 'Xfce']","['Desktop', 'Server']",['Active']
